TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
11:34:49,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,D_1
11:34:50,0,0,0,0,0,-81,0,-73,0,0,0,-78,0,0,0,0,0,0,D_1
11:34:51,0,0,0,0,0,-83,0,-79,0,0,0,-77,0,0,0,0,0,0,D_1
11:34:52,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,D_1
11:34:54,0,0,0,0,0,0,-77,0,-81,0,0,-81,0,0,0,0,0,0,D_1
11:34:55,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,D_1
11:34:56,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,D_1
11:35:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,0,0,D_1
11:35:09,0,0,0,0,0,-79,0,-82,0,0,0,-78,0,0,0,0,0,0,D_1
11:35:11,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,D_1
11:35:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,0,0,0,D_1
11:35:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51,0,0,0,D_1
11:35:20,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,-78,0,0,D_1
11:35:21,0,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,D_1
11:35:23,0,0,0,0,0,0,0,-80,0,0,0,-71,0,0,0,0,0,0,D_1
11:35:26,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,D_1
11:35:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,0,0,D_1
11:35:31,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,D_1
11:35:33,0,0,0,0,0,0,0,-80,0,0,0,-75,0,0,0,0,0,0,D_1
11:35:35,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,D_1
11:35:37,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,D_1
11:35:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,0,0,0,D_1
11:35:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,-67,0,0,D_1
11:35:44,0,0,0,0,0,-85,0,-90,0,0,0,0,0,0,0,0,0,0,D_1
11:35:46,0,0,0,0,0,0,0,-66,0,0,0,-81,0,0,0,0,0,0,D_1
11:35:48,0,0,0,0,0,0,0,0,-71,0,0,-74,0,0,0,0,0,0,D_1
11:35:50,0,0,0,0,0,0,-54,0,-73,0,0,0,0,0,0,0,0,0,D_1
11:35:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,D_1
11:35:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,D_1
11:35:57,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,-72,0,0,D_1
11:35:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,0,0,D_1
11:35:59,0,0,0,0,-88,-74,0,-76,0,0,0,0,0,0,0,0,0,0,D_1
11:36:01,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,D_1
11:36:03,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,D_1
11:36:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,0,D_1
11:36:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,0,D_1
11:36:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,D_1
11:36:10,0,0,0,0,0,-88,0,0,0,0,0,-73,0,0,0,0,0,0,D_1
11:36:12,0,0,0,0,0,0,0,0,-93,0,0,-79,0,0,0,0,0,0,D_1
11:36:16,0,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,D_1
11:36:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,D_1
11:36:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,D_1
11:36:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,0,0,0,D_1
11:36:21,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,D_1
11:36:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,D_1
11:36:23,0,0,0,0,0,0,0,-82,0,0,0,-79,0,0,0,0,0,0,D_1
11:36:25,0,0,0,0,0,0,0,0,-83,0,0,-78,0,0,0,0,0,0,D_1
11:36:27,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,D_1
11:36:29,0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,D_1
11:36:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,0,0,D_1
11:36:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,D_1
11:36:34,0,0,0,0,0,0,0,-88,0,0,0,-82,0,0,0,0,0,0,D_1
11:36:36,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,D_1
11:36:42,0,0,0,0,0,0,-66,0,0,0,0,0,0,0,-65,0,0,0,D_1
11:36:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,D_1
11:36:47,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,D_1
11:36:48,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,D_1
11:36:49,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,D_1
11:36:51,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,D_1
11:36:53,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,D_1
11:36:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,D_1
11:36:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,D_1
11:36:59,0,0,0,0,0,-79,0,-80,0,0,0,0,0,0,0,0,0,0,D_1
11:37:00,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,D_1
11:37:01,0,0,0,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,D_1
11:37:02,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,D_1
11:37:06,0,0,0,0,0,0,-65,0,0,0,0,0,0,0,0,0,0,0,D_1
11:37:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,0,D_1
11:37:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,D_1
11:37:12,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,-78,0,0,D_1
11:37:13,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,D_1
11:37:15,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,D_1
11:37:17,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,D_1
11:37:19,0,0,0,0,0,0,-65,0,0,0,0,0,0,0,-55,0,0,0,D_1
11:37:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,0,0,0,D_1
11:37:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,0,0,D_1
11:37:25,0,0,0,0,0,0,0,-75,0,0,0,-73,0,0,0,0,0,0,D_1
11:37:26,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,D_1
11:37:27,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,D_1
11:37:32,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,-55,0,0,0,D_1
11:37:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,D_1
11:37:36,0,0,0,0,0,-92,0,-67,0,0,0,0,0,0,0,-63,0,0,D_1
11:37:38,0,0,0,0,0,-90,0,-74,0,0,0,-80,0,0,0,0,0,0,D_1
11:37:41,0,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,D_1
11:37:42,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,D_1
11:37:43,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,-52,0,0,0,D_1
11:37:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52,0,0,0,D_1
11:37:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,D_1
11:37:49,0,0,0,0,0,-87,0,-89,0,0,0,0,0,0,0,0,0,0,D_1
11:37:51,0,0,0,0,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,D_1
11:37:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,0,0,0,D_1
11:37:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,0,0,0,D_1
11:38:00,0,0,0,0,0,-80,0,-83,0,0,0,0,0,0,0,-68,0,0,D_1
11:38:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,D_1
11:38:04,0,0,0,0,0,0,0,0,-94,0,0,-76,0,0,0,0,0,0,D_1
11:38:07,0,0,0,0,0,0,-65,0,0,0,0,0,0,0,0,0,0,0,D_1
11:38:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,0,D_1
11:38:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,D_1
11:38:13,0,0,0,0,0,-80,0,-82,0,0,0,0,0,0,0,-75,0,0,D_1
11:38:15,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,D_1
11:38:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,0,0,0,D_1
11:38:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,0,D_1
11:38:24,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,-82,0,0,D_1
11:38:26,0,0,0,0,0,-80,0,-87,0,0,0,-78,0,0,0,-86,0,0,D_1
11:38:28,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,D_1
11:38:30,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,D_1
11:38:33,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,-56,0,0,0,D_1
11:38:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,D_1
11:38:37,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,D_1
11:38:39,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,D_1
11:38:41,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,D_1
11:38:43,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,D_1
11:38:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,0,D_1
11:38:45,0,0,0,0,0,0,-58,0,0,0,0,0,0,0,0,0,0,0,D_1
11:38:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,0,D_1
11:38:50,0,0,0,0,0,0,0,-81,0,0,0,-72,0,0,0,-64,0,0,D_1
11:38:52,0,0,0,0,0,0,0,-80,0,0,0,-69,0,0,0,0,0,0,D_1
11:38:54,0,0,0,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,D_1
11:38:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,0,0,0,D_1
11:38:58,0,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,D_1
11:39:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,0,0,0,D_1
11:39:01,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,-64,0,0,D_1
11:39:03,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,-62,0,0,D_1
11:39:05,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,D_1
11:39:09,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,D_1
11:39:11,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,-61,0,0,0,D_1
11:39:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,0,0,D_1
11:39:14,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,D_1
11:39:16,0,0,0,0,0,-90,0,-80,0,0,0,0,0,0,0,0,0,0,D_1
11:39:20,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,D_1
11:39:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,0,0,0,D_1
