TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
22:56:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,D_2
22:56:03,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-90,0,0,D_2
22:56:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,D_2
22:56:11,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,D_2
22:56:12,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,D_2
22:56:13,0,0,0,0,0,-88,-69,-88,0,0,0,0,0,0,0,0,0,0,D_2
22:56:14,0,0,0,0,0,-78,-73,-94,0,0,0,-70,0,0,0,0,0,0,D_2
23:05:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,0,0,D_2
23:05:59,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,D_2
23:06:01,0,0,0,0,0,-82,-67,0,0,0,0,-69,0,0,0,0,0,0,D_2
23:06:03,0,0,0,0,0,0,-64,0,0,0,0,-75,0,0,0,0,0,0,D_2
23:06:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,0,0,D_2
23:06:07,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,D_2
23:06:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,0,D_2
23:06:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,D_2
23:06:14,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,D_2
23:06:16,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,D_2
23:06:18,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,D_2
23:06:20,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,D_2
23:06:22,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,0,-65,0,0,D_2
23:06:23,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,D_2
23:06:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,0,D_2
23:06:25,0,0,0,0,0,0,-68,-67,0,0,0,-69,0,0,0,0,0,0,D_2
23:06:27,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,-69,0,0,0,D_2
23:06:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,0,D_2
23:06:33,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,D_2
23:06:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,D_2
23:06:36,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,D_2
23:06:38,0,0,0,0,0,-89,-66,-68,0,0,0,-73,0,0,0,0,0,0,D_2
