TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
01:36:43,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:36:45,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:36:46,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:36:50,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:36:52,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:36:53,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:36:54,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:36:58,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:36:59,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,-96,0,A_1
01:37:00,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:03,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:04,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,A_1
01:37:12,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:13,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:14,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:17,0,0,-74,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,0,A_1
01:37:18,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,A_1
01:37:20,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,A_1
01:37:22,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:24,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:25,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:26,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:30,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:31,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:32,-79,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,A_1
01:37:33,-77,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,A_1
01:37:34,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:37,0,0,-71,0,0,0,0,0,0,0,0,0,0,-77,0,0,-82,0,A_1
01:37:38,0,0,-70,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,A_1
01:37:40,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
01:37:43,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
