TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
22:15:00,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:15:01,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:15:02,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:15:04,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,B_2
22:15:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,B_2
22:15:06,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,B_2
22:15:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,B_2
22:15:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,B_2
22:15:12,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,B_2
22:15:14,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:15:15,0,-83,0,0,-94,0,0,0,0,0,0,0,0,0,0,0,-68,0,B_2
22:15:16,0,-81,0,-73,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:15:18,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:15:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,B_2
22:15:29,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:15:32,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,B_2
22:15:33,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,0,B_2
22:15:34,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,0,B_2
22:15:35,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,B_2
22:15:37,-87,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:15:38,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:15:40,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:15:42,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:15:43,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:15:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,B_2
22:15:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,B_2
22:15:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,B_2
22:15:51,0,-81,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:15:52,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:15:54,0,-90,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,-69,0,B_2
22:15:55,0,-73,0,0,-84,-81,0,0,0,0,0,0,0,0,0,0,-65,0,B_2
22:15:56,-86,0,0,-71,-78,0,0,0,0,0,0,0,0,0,0,0,-66,0,B_2
