TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
19:36:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,C_2
19:36:36,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:36:37,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:36:38,0,0,0,-73,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:36:39,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:36:40,0,0,0,-76,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:36:41,0,0,0,-86,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:36:42,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:36:43,0,0,0,-75,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:36:44,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:36:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,C_2
19:36:56,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:36:57,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:36:58,-94,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:36:59,0,0,0,0,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:37:18,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:37:19,0,0,0,-81,-67,-80,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:37:20,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:37:21,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:37:22,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:37:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,C_2
19:37:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,0,0,C_2
19:37:36,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:37:38,0,0,0,-83,-59,-74,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:37:39,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:37:41,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:37:42,0,0,0,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:37:45,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,C_2
19:37:55,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:37:56,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
19:37:58,0,0,0,0,-54,-75,0,0,0,0,0,0,0,0,0,0,0,0,C_2
