TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
11:57:15,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:57:16,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:57:20,0,0,0,0,-68,0,-92,0,0,0,0,0,0,0,0,0,0,0,C_3
11:57:22,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:57:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,C_3
11:57:25,0,0,0,-90,-69,0,0,0,0,0,0,0,0,0,0,-79,0,0,C_3
11:57:27,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:57:36,0,0,0,-84,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,C_3
11:57:38,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:57:47,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,C_3
11:57:48,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,C_3
11:57:49,0,0,0,-88,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,C_3
11:57:51,0,0,0,0,-70,0,-68,0,0,0,0,0,0,0,0,0,0,0,C_3
11:57:53,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:57:57,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:57:59,0,0,0,0,0,-58,0,-90,0,0,0,0,0,0,0,0,0,0,C_3
11:58:00,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,C_3
11:58:02,0,0,0,-88,-84,0,-85,0,0,0,0,0,0,0,0,-73,0,0,C_3
11:58:04,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:58:08,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:58:10,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:58:14,0,0,0,-75,0,0,0,0,0,0,0,-91,0,0,0,-79,0,0,C_3
11:58:15,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,C_3
11:58:23,0,0,0,0,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:58:27,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,-71,0,0,C_3
11:58:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,C_3
11:58:34,0,0,0,0,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:58:36,0,0,0,0,0,0,0,-94,0,0,0,0,0,0,0,0,0,0,C_3
11:58:39,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:58:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,C_3
11:58:41,0,0,0,0,-72,0,-86,0,0,0,0,0,0,0,-88,0,0,0,C_3
11:58:47,0,0,0,0,0,-69,0,-91,0,0,0,0,0,0,0,0,0,0,C_3
11:58:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,C_3
11:58:53,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:58:58,0,0,0,0,0,-64,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:59:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,C_3
11:59:04,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:59:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,0,C_3
11:59:06,0,0,0,0,-83,0,-78,0,0,0,0,0,0,0,0,0,0,0,C_3
11:59:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,C_3
11:59:10,0,0,0,0,-90,0,-84,0,-92,0,0,0,0,0,0,-75,0,0,C_3
11:59:11,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:59:15,0,0,0,0,0,0,0,0,-87,0,0,-90,0,0,0,0,0,0,C_3
11:59:17,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,-67,0,0,C_3
11:59:22,0,0,0,0,0,-58,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:59:24,0,0,0,0,0,-57,0,-84,0,0,0,0,0,0,0,0,0,0,C_3
11:59:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,C_3
11:59:30,0,0,0,0,-76,0,0,0,-91,0,0,0,0,0,0,0,0,0,C_3
11:59:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,C_3
11:59:37,0,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,C_3
11:59:39,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,C_3
11:59:41,0,0,0,-75,0,0,0,0,0,0,0,-94,0,0,0,-79,0,0,C_3
11:59:43,0,0,0,0,-79,0,-93,0,0,0,0,0,0,0,-82,0,0,0,C_3
11:59:52,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,C_3
11:59:54,0,0,0,-80,0,0,-79,0,0,0,0,0,0,0,-83,0,0,0,C_3
11:59:56,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
12:00:12,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,C_3
12:00:14,0,0,0,0,0,0,0,0,0,0,0,-92,0,0,0,0,0,0,C_3
12:00:16,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,C_3
12:00:18,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
