TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
20:30:20,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:30:23,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:30:25,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:30:27,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,A_1
20:30:29,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,A_1
20:30:33,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:30:36,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:30:44,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:30:50,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:30:51,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,A_1
20:30:53,-68,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:30:55,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:31:08,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:31:12,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:31:13,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:31:14,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,A_1
20:31:17,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,A_1
20:31:19,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:31:21,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:31:25,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:31:28,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,0,0,A_1
20:31:30,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,A_1
20:31:32,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:31:42,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,A_1
20:31:45,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:31:49,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:31:51,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:31:53,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,0,0,-78,0,A_1
20:31:55,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,A_1
20:31:56,-60,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:31:58,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:32:02,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:32:04,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,A_1
20:32:06,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,0,A_1
20:32:08,0,0,-80,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,A_1
20:32:09,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:32:10,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:32:11,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
20:32:15,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,A_1
20:32:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,A_1
