TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
19:57:48,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:57:49,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:57:50,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:57:51,0,0,0,-78,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:57:52,0,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:57:53,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:57:54,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:57:55,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:57:56,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:57:57,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:57:58,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:58:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,C_1
19:58:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,C_1
19:58:07,0,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:58:08,0,0,0,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:58:09,0,0,0,-59,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:58:10,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:58:12,0,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:58:14,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:58:15,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:58:16,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:58:18,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,-81,0,C_1
19:58:19,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,C_1
19:58:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,C_1
19:58:21,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,-84,C_1
19:58:22,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,-80,C_1
19:58:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,C_1
19:58:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,C_1
