TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
23:36:13,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,E_1
23:36:15,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,E_1
23:36:16,0,0,0,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,E_1
23:36:20,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,E_1
23:36:21,0,0,0,0,0,0,0,-76,-67,0,0,0,0,0,0,0,0,0,E_1
23:36:23,0,0,0,0,0,0,-74,-74,-61,0,0,0,0,0,0,0,0,0,E_1
23:36:24,0,0,0,0,0,0,0,-78,-59,0,0,0,0,0,0,0,0,0,E_1
23:36:25,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,E_1
23:36:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,E_1
23:36:35,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E_1
23:36:36,-91,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,E_1
23:36:39,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E_1
23:36:41,0,0,0,0,0,0,-81,-78,-67,0,0,0,0,0,0,0,0,0,E_1
23:36:42,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,E_1
23:36:43,0,0,0,0,0,0,-75,0,-52,0,0,0,0,0,0,0,0,0,E_1
23:36:44,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,E_1
23:36:45,0,0,0,0,0,0,0,0,-51,0,0,0,0,0,0,0,0,0,E_1
23:36:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,0,E_1
23:36:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,0,0,0,E_1
23:36:57,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E_1
23:37:00,0,0,0,0,0,0,-70,-62,0,0,0,0,0,0,0,0,0,0,E_1
23:37:01,0,0,0,0,0,0,-75,-71,-61,0,0,0,0,0,0,0,0,0,E_1
23:37:02,0,0,0,0,0,0,-78,-79,-69,0,0,0,0,0,0,0,0,0,E_1
23:37:03,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,E_1
23:37:04,0,0,0,0,0,0,0,-78,-67,0,0,0,0,0,0,-86,0,0,E_1
23:37:05,0,0,0,0,0,0,0,0,-57,0,0,0,0,0,0,0,0,0,E_1
23:37:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,E_1
23:37:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,0,0,0,E_1
23:37:12,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,0,0,0,0,E_1
23:37:13,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,E_1
23:37:18,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,E_1
23:37:20,0,0,0,0,0,0,-87,-80,0,0,0,0,0,0,0,0,0,0,E_1
23:37:21,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,E_1
23:37:22,0,0,0,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,E_1
23:37:23,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,E_1
23:37:25,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,E_1
23:37:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,E_1
23:37:32,0,0,0,0,0,0,0,0,0,0,-94,0,0,0,0,0,0,0,E_1
23:37:35,-88,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,E_1
23:37:36,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,E_1
23:37:39,-90,0,0,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,E_1
23:37:40,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,E_1
23:37:41,0,0,0,0,0,0,-84,-77,-70,0,0,0,0,0,0,0,0,0,E_1
23:37:42,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,E_1
23:37:43,0,0,0,0,0,0,0,0,-54,0,0,0,0,0,0,0,0,0,E_1
23:37:44,0,0,0,0,0,0,0,0,-49,0,0,0,0,0,0,0,0,0,E_1
23:37:45,0,0,0,0,0,0,0,0,-53,0,0,0,0,0,0,0,0,0,E_1
23:37:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,E_1
23:37:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,E_1
23:37:48,0,0,0,0,0,0,-82,-70,0,0,0,0,0,0,0,0,0,0,E_1
23:37:50,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,E_1
23:37:51,0,0,0,0,0,0,0,0,-64,0,0,0,0,0,0,0,0,0,E_1
23:37:52,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,E_1
23:37:55,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,E_1
23:37:59,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,E_1
23:38:00,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,E_1
23:38:01,0,0,0,0,0,0,-80,-70,-64,0,0,0,0,0,0,0,0,0,E_1
23:38:02,0,0,0,0,0,0,-76,-71,0,0,0,0,0,0,0,0,0,0,E_1
23:38:03,0,0,0,0,0,0,0,-79,-62,0,0,0,0,0,0,0,0,0,E_1
23:38:05,0,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,E_1
23:38:06,0,0,0,0,0,0,0,0,-61,0,0,0,0,0,0,-85,0,0,E_1
23:38:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,E_1
23:38:12,0,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,E_1
23:38:14,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,E_1
23:38:15,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,E_1
23:38:18,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,E_1
23:38:19,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,E_1
23:38:20,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,E_1
23:38:21,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,E_1
23:38:22,0,0,0,0,0,0,0,-71,-58,0,0,0,0,0,0,0,0,0,E_1
23:38:23,0,0,0,0,0,0,0,-79,-68,0,0,0,0,0,0,0,0,0,E_1
23:38:24,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,E_1
23:38:25,0,0,0,0,0,0,0,0,-59,0,0,0,0,0,0,0,0,0,E_1
23:38:26,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,-91,0,0,E_1
23:38:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,E_1
23:38:32,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,E_1
23:38:34,0,0,0,0,0,0,0,0,0,0,-92,0,0,0,0,0,0,0,E_1
23:38:35,-93,0,0,0,0,0,0,0,0,-86,-85,0,0,0,0,0,0,0,E_1
23:38:38,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,E_1
23:38:39,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,E_1
23:38:40,0,0,0,0,0,0,-79,-68,0,0,0,0,0,0,0,0,0,0,E_1
23:38:41,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,E_1
23:38:42,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,E_1
23:38:43,0,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,E_1
23:38:44,0,0,0,0,0,0,0,-78,-58,0,0,0,0,0,0,0,0,0,E_1
23:38:46,0,0,0,0,0,0,0,0,-58,0,0,0,0,0,0,0,0,0,E_1
23:38:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,E_1
23:38:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,E_1
23:38:52,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,E_1
23:38:54,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,E_1
23:38:56,0,0,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,E_1
23:38:58,0,0,0,0,0,0,-87,0,0,-89,0,0,0,0,0,0,0,0,E_1
23:38:59,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,E_1
23:39:00,0,0,0,0,0,0,-79,-75,0,0,0,0,0,0,0,0,0,0,E_1
23:39:01,0,0,0,0,0,0,-70,-79,0,0,0,0,0,0,0,0,0,0,E_1
23:39:03,0,0,0,0,0,0,0,-73,-67,0,0,0,0,0,0,0,0,0,E_1
23:39:04,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,E_1
23:39:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,E_1
23:39:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,E_1
23:39:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,E_1
23:39:15,0,0,0,0,0,0,0,0,0,-88,0,-90,0,0,0,0,0,0,E_1
23:39:17,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,E_1
23:39:18,0,0,0,0,0,0,-75,-66,0,0,0,0,0,0,0,0,0,0,E_1
23:39:20,0,0,0,0,0,0,-85,-82,0,0,0,0,0,0,0,0,0,0,E_1
23:39:21,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,E_1
23:39:23,0,0,0,0,0,0,0,0,-65,0,0,0,0,0,0,0,0,0,E_1
23:39:24,0,0,0,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,E_1
23:39:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,E_1
23:39:26,0,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,E_1
23:39:27,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,-86,0,0,E_1
23:39:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,-79,0,0,E_1
23:39:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,E_1
23:39:35,-97,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,E_1
23:39:37,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,E_1
23:39:38,0,0,0,0,0,-89,0,0,0,0,0,-96,0,0,0,0,0,0,E_1
23:39:39,0,0,0,0,0,0,-65,-74,0,0,0,0,0,0,0,0,0,0,E_1
23:39:40,0,0,0,0,0,0,-74,-73,0,0,0,0,0,0,0,0,0,0,E_1
23:39:41,0,0,0,0,0,0,-70,-69,0,0,0,0,0,0,0,0,0,0,E_1
23:39:43,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,E_1
23:39:44,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,E_1
23:39:45,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,E_1
23:39:46,0,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,E_1
23:39:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,0,0,E_1
23:39:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,0,0,E_1
23:39:52,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,E_1
23:39:57,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,E_1
23:39:58,0,0,0,0,0,0,-77,-72,0,0,0,0,0,0,0,0,0,0,E_1
23:39:59,0,0,0,0,0,-88,-68,-68,0,0,0,0,0,0,0,0,0,0,E_1
23:40:00,0,0,0,0,0,0,-80,-68,0,0,0,0,0,0,0,0,0,0,E_1
23:40:01,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,E_1
23:40:03,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,E_1
23:40:04,0,0,0,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,E_1
23:40:05,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,E_1
23:40:06,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,E_1
23:40:12,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,E_1
23:40:15,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,E_1
23:40:17,0,0,0,0,0,-92,-86,-77,0,0,0,0,0,0,0,0,0,0,E_1
23:40:18,0,0,0,0,0,0,-76,-70,0,0,0,0,0,0,0,0,0,0,E_1
23:40:19,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,E_1
23:40:20,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,E_1
23:40:22,0,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,E_1
23:40:23,0,0,0,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,E_1
23:40:25,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,E_1
23:40:26,0,0,0,0,0,0,0,0,-59,0,0,0,0,0,0,0,0,0,E_1
23:40:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,0,0,E_1
23:40:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,E_1
23:40:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,E_1
23:40:34,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,E_1
23:40:36,0,0,0,0,0,0,-69,0,0,-87,0,0,0,0,0,0,0,0,E_1
23:40:37,0,0,0,0,0,0,-74,-70,0,0,0,0,0,0,0,0,0,0,E_1
23:40:38,0,0,0,0,0,0,-78,-70,0,0,0,0,0,0,0,0,0,0,E_1
23:40:39,0,0,0,0,0,0,-84,-81,0,0,0,0,0,0,0,0,0,0,E_1
23:40:40,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,E_1
23:40:41,0,0,0,0,-97,0,0,0,0,0,0,0,0,0,0,0,0,0,E_1
23:40:43,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,E_1
23:40:44,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,E_1
23:40:45,0,0,0,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,E_1
23:40:46,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,E_1
23:40:56,0,0,0,0,0,0,-86,-83,0,0,0,0,0,0,0,0,0,0,E_1
23:40:57,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,E_1
23:40:58,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,E_1
23:40:59,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,0,E_1
