TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
20:04:39,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
21:07:30,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,A_3
01:10:24,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_3
20:34:49,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
19:53:39,0,0,0,0,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
23:52:32,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,E_2
00:42:53,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
19:43:34,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
10:18:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,-57,B_1
23:51:55,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,-83,0,0,E_1
21:59:58,0,-85,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,B_1
19:53:53,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
00:59:47,-85,0,-64,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_3
23:50:12,0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,E_2
19:38:16,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
20:54:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,A_2
19:58:55,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
20:34:18,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
11:09:39,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,C_2
23:57:04,0,0,0,0,0,0,0,0,-63,-81,0,0,0,0,-89,0,0,0,E_2
20:13:23,0,0,0,-81,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,C_3
23:58:34,0,0,0,0,0,0,0,-56,0,0,0,0,0,0,0,0,0,0,E_2
23:38:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,E_1
22:16:17,-81,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:56:03,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,-90,0,0,D_2
23:39:38,0,0,0,0,0,-89,0,0,0,0,0,-96,0,0,0,0,0,0,E_1
23:50:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,E_2
20:12:04,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:54:16,-76,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:26:30,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,A_1
2:44:44,0,0,0,0,0,0,-78,-59,0,0,0,0,0,0,-87,0,0,0,E_3
23:58:40,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,E_2
11:34:51,0,0,0,0,0,-83,0,-79,0,0,0,-77,0,0,0,0,0,0,D_1
22:00:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,B_1
20:49:04,-79,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,A_2
20:36:52,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
19:21:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,C_1
00:26:39,-58,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_1
