TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
00:41:17,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:41:18,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:41:20,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,0,0,0,0,A_2
00:41:22,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:41:24,0,0,-66,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,A_2
00:41:25,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:41:26,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:41:27,0,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,A_2
00:41:28,0,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,A_2
00:41:29,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,A_2
00:41:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,A_2
00:41:34,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:41:37,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:41:38,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:41:40,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,A_2
00:41:41,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,0,0,A_2
00:41:42,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:41:43,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,A_2
00:41:44,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,A_2
00:41:45,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:41:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,A_2
00:41:48,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,A_2
00:41:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,A_2
00:41:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-82,A_2
00:41:51,0,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:41:54,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:41:55,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:41:57,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:00,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,A_2
00:42:02,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:03,0,0,-73,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,A_2
00:42:05,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,-80,A_2
00:42:08,0,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-82,A_2
00:42:09,0,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,A_2
00:42:10,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,A_2
00:42:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,A_2
00:42:12,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:13,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:14,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:15,-68,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:20,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,A_2
00:42:22,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:23,0,0,-73,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,A_2
00:42:24,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:25,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:27,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:29,0,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,A_2
00:42:34,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:35,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:36,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:37,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:40,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,0,A_2
00:42:41,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,A_2
00:42:42,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:43,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:44,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:46,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:47,0,-63,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,A_2
00:42:48,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:49,0,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,A_2
00:42:50,0,-57,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,A_2
00:42:53,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:54,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:57,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:42:58,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,0,0,0,0,A_2
00:43:00,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,0,0,0,0,A_2
00:43:03,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:43:04,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
