TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
21:58:02,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,B_1
21:58:04,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:05,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,B_1
21:58:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,B_1
21:58:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,B_1
21:58:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,B_1
21:58:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,B_1
21:58:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,B_1
21:58:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,B_1
21:58:17,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:18,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:19,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:20,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,B_1
21:58:22,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,B_1
21:58:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,B_1
21:58:24,-93,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:25,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:26,0,-87,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:27,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,B_1
21:58:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,B_1
21:58:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,B_1
21:58:36,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:37,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:38,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,B_1
21:58:40,0,0,0,-96,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,B_1
21:58:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,B_1
21:58:42,0,0,-69,-80,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,B_1
21:58:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,B_1
21:58:44,0,0,-68,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:45,-78,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:46,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:47,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,B_1
21:58:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,B_1
21:58:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,B_1
21:58:57,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:58:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,B_1
21:58:59,0,-76,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:59:00,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,B_1
21:59:01,0,-79,0,-77,-89,0,0,0,0,0,0,0,0,0,0,0,-68,0,B_1
21:59:02,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,B_1
21:59:03,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:59:04,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:59:05,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:59:06,-82,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:59:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,B_1
21:59:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,B_1
21:59:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,B_1
21:59:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,B_1
21:59:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,B_1
21:59:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,B_1
21:59:17,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
21:59:19,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,B_1
21:59:20,0,-69,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,B_1
21:59:21,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_1
