TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
10:56:07,0,0,0,0,-85,-88,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:08,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,C_1
10:56:10,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,C_1
10:56:11,0,0,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:12,0,0,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,C_1
10:56:13,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:16,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:18,0,0,-84,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:24,0,0,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:26,0,0,0,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,C_1
10:56:29,0,0,-83,0,-80,-84,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:31,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:37,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,C_1
10:56:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,C_1
10:56:40,0,0,-87,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:42,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,C_1
10:56:50,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:51,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:53,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:56:55,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,C_1
10:57:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,C_1
10:57:06,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:07,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:10,0,-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:14,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:16,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:17,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:18,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:19,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:20,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:21,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:27,0,0,0,-57,0,0,0,0,0,0,0,0,0,0,0,-93,0,-85,C_1
10:57:31,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,C_1
10:57:40,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:44,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:53,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:57:55,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:02,0,0,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:06,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:08,0,0,-89,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:10,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:11,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,C_1
10:58:15,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,C_1
10:58:19,0,0,-77,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,-77,C_1
10:58:21,0,0,-88,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,C_1
10:58:28,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,C_1
10:58:32,-90,0,-83,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:34,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:36,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:39,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:43,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:45,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:47,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:58:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,C_1
10:58:52,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,C_1
10:58:56,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:03,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:05,0,0,0,0,-75,-87,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:08,0,0,-92,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:09,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:10,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:11,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,C_1
10:59:18,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,C_1
10:59:20,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:22,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:29,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:33,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:35,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:41,0,0,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,C_1
10:59:43,0,0,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:46,0,0,0,0,-79,-88,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:48,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,C_1
10:59:54,0,0,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,C_1
10:59:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,C_1
10:59:57,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,C_1
10:59:59,0,0,-82,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
11:00:07,0,0,0,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
11:00:08,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,-81,C_1
11:00:10,-78,0,-69,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,C_1
11:00:18,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
11:00:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,C_1
11:00:21,0,0,-90,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,C_1
11:00:23,0,0,-89,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,C_1
