TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
19:19:05,0,0,0,-63,-68,-77,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:06,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,C_1
19:19:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,C_1
19:19:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,C_1
19:19:19,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:21,0,0,0,0,-76,-88,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:22,0,0,-84,-66,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:23,0,0,0,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:24,0,0,-92,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:25,0,0,0,-59,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:26,0,0,0,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:27,0,0,0,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:28,0,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,C_1
19:19:39,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:42,0,0,-94,-64,-81,-80,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:43,0,0,-88,-61,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:44,0,0,0,-54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:45,0,0,0,-69,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:46,-95,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,0,-85,C_1
19:19:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,-88,C_1
19:19:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,-69,C_1
19:19:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,-69,C_1
19:19:54,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:19:55,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,C_1
19:19:57,0,-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:00,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:01,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:02,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:03,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:04,0,0,0,-63,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:05,0,0,0,-72,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,0,C_1
19:20:22,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:23,0,0,-91,-59,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:24,-87,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:25,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:26,-86,0,-75,-64,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:27,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,-92,0,0,C_1
19:20:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,C_1
19:20:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,C_1
19:20:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,C_1
19:20:32,0,0,0,0,0,-65,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:33,0,0,0,-66,-82,0,0,0,0,0,0,0,0,0,0,0,0,-88,C_1
19:20:36,0,0,0,-31,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:37,0,0,0,-67,-77,0,0,0,0,0,0,0,0,0,0,0,-85,-88,C_1
19:20:39,0,0,0,-74,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:41,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:42,0,0,0,0,-69,-78,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:43,0,0,0,-68,-75,-77,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:44,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:45,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:46,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:47,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,C_1
19:20:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-90,C_1
19:20:53,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_1
19:20:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,C_1
19:20:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,C_1
19:21:01,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,C_1
