TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
22:38:14,0,0,0,-96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:38:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,D_1
22:38:21,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,D_1
22:38:22,0,0,0,0,0,0,0,-80,-68,0,0,0,0,0,0,-70,0,0,D_1
22:38:23,0,0,0,0,0,-81,0,0,-71,0,0,0,0,0,0,-68,0,0,D_1
22:38:24,0,0,0,0,0,-81,-78,0,-78,0,0,-82,0,0,0,-67,0,0,D_1
22:38:25,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,-69,-74,0,0,D_1
22:38:26,0,0,0,0,-92,0,-74,0,0,0,0,-82,0,0,-65,0,0,0,D_1
22:38:28,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:38:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,D_1
22:38:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,D_1
22:38:31,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:38:33,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:38:35,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:38:36,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:38:37,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:38:38,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,D_1
22:38:39,0,0,0,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,D_1
22:38:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,0,0,D_1
22:38:41,0,0,0,0,0,0,0,-81,-89,0,0,0,0,0,0,0,0,0,D_1
22:38:42,0,0,0,0,0,-71,0,0,-79,0,0,0,0,0,0,-54,0,0,D_1
22:38:43,0,0,0,0,0,0,0,0,-88,0,0,-85,0,0,0,-55,0,0,D_1
22:38:44,0,0,0,0,0,-69,0,0,-89,0,0,-86,0,0,0,-68,0,0,D_1
22:38:45,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,D_1
22:38:46,0,0,0,0,-84,0,-79,0,0,0,0,-90,0,0,0,0,0,0,D_1
22:38:47,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,-85,0,0,0,D_1
22:38:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,D_1
22:38:49,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,-85,0,0,0,D_1
22:38:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,0,0,D_1
22:39:00,0,0,0,0,0,0,0,-78,-83,0,0,0,0,0,0,0,0,0,D_1
22:39:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,0,0,D_1
22:39:02,0,0,0,0,0,-79,-74,0,-86,0,0,0,0,0,0,0,0,0,D_1
22:39:03,0,0,0,0,0,-75,-77,0,0,0,0,0,0,0,0,-55,0,0,D_1
22:39:04,0,0,0,0,0,-75,0,0,-82,0,0,0,0,0,0,0,0,0,D_1
22:39:05,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,-79,0,0,0,D_1
22:39:06,0,0,0,0,-90,-74,-77,0,0,0,0,0,0,0,-86,0,0,0,D_1
22:39:07,0,0,0,0,0,-79,-78,0,0,0,0,-92,0,0,-85,0,0,0,D_1
22:39:08,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:39:17,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,D_1
22:39:18,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,D_1
22:39:20,0,0,0,0,0,0,0,-78,-79,0,0,0,0,0,0,0,0,0,D_1
22:39:21,0,0,0,0,0,-79,0,-80,-79,0,0,0,0,0,0,-59,0,0,D_1
22:39:22,0,0,0,0,0,0,-71,0,-83,0,0,0,0,0,0,-59,0,0,D_1
22:39:23,0,0,0,0,0,-77,-79,0,-73,0,0,-94,0,0,0,-53,0,0,D_1
22:39:24,0,0,0,0,0,-75,-71,0,0,0,0,0,0,0,-79,0,0,0,D_1
22:39:25,0,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:39:26,0,0,0,0,0,-80,0,0,0,0,0,-93,0,0,0,0,0,0,D_1
22:39:40,0,0,0,0,0,0,0,-88,-79,0,0,0,0,0,0,0,0,0,D_1
22:39:41,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,-69,0,0,D_1
22:39:42,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,D_1
22:39:43,0,0,0,0,0,-80,-79,0,0,0,0,0,0,0,0,-69,0,0,D_1
22:39:44,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,-69,0,0,D_1
22:39:45,0,0,0,0,0,-87,-80,0,0,0,0,0,0,0,-89,0,0,0,D_1
22:39:46,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,D_1
22:39:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,D_1
22:39:49,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:39:56,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,D_1
22:39:57,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,D_1
22:39:59,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,D_1
22:40:00,0,0,0,0,0,0,0,-85,-80,0,0,0,0,0,0,0,0,0,D_1
22:40:01,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,-76,0,0,D_1
22:40:02,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,-68,0,0,D_1
22:40:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,D_1
22:40:04,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,-79,0,0,0,D_1
22:40:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,D_1
22:40:06,0,0,0,0,0,-81,-71,0,0,0,0,0,0,0,0,0,0,0,D_1
22:40:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,D_1
22:40:18,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,D_1
22:40:19,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,D_1
22:40:20,0,0,0,0,0,0,0,-93,-79,0,0,0,0,0,0,-71,0,0,D_1
22:40:21,0,0,0,0,0,0,0,-81,-78,0,0,0,0,0,0,-70,0,0,D_1
22:40:22,0,0,0,0,0,0,-89,0,-91,0,0,0,0,0,0,-69,0,0,D_1
22:40:23,0,0,0,0,0,-85,0,0,-78,0,0,0,0,0,0,0,0,0,D_1
22:40:24,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,D_1
22:40:25,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:40:26,0,0,0,0,0,-82,-71,0,0,0,0,0,0,0,-85,0,0,0,D_1
22:40:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,D_1
22:40:34,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,-80,0,0,0,D_1
22:40:39,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,D_1
22:40:40,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,D_1
22:40:41,0,0,0,0,0,0,-82,-80,0,0,0,0,0,0,0,-72,0,0,D_1
22:40:42,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,-69,0,0,D_1
22:40:43,0,0,0,0,0,-88,-82,0,-82,0,0,0,0,0,0,-77,0,0,D_1
22:40:44,0,0,0,0,0,-86,-75,0,-85,0,0,0,0,0,0,0,0,0,D_1
22:40:45,0,0,0,0,0,0,-77,0,-80,0,0,0,0,0,0,-70,0,0,D_1
22:40:46,0,0,0,0,0,0,0,0,0,0,0,-94,0,0,0,0,0,0,D_1
22:40:56,0,0,0,0,0,0,0,0,0,0,0,-92,0,0,-89,0,0,0,D_1
22:40:57,0,0,0,0,0,-88,-81,0,0,0,0,0,0,0,0,0,0,0,D_1
22:41:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,D_1
22:41:02,0,0,0,0,0,-88,-74,0,0,0,0,0,0,0,0,-71,0,0,D_1
22:41:11,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,D_1
22:41:13,0,0,0,0,0,0,0,-79,-84,0,0,0,0,0,0,0,0,0,D_1
22:41:15,0,0,0,0,0,0,-71,0,-79,0,0,0,0,0,-83,-69,0,0,D_1
22:41:17,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,-93,0,0,0,D_1
22:46:06,0,0,0,-85,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,D_1
22:46:08,0,0,0,0,0,-82,0,-77,0,0,0,0,0,0,0,0,0,0,D_1
22:46:10,0,0,0,0,0,-78,0,0,-76,0,0,-82,0,0,0,-55,0,0,D_1
22:46:12,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,-77,-51,0,0,D_1
22:46:21,0,0,0,0,0,-73,0,-78,0,0,0,0,0,0,0,0,0,0,D_1
22:46:23,0,0,0,0,0,0,-79,0,-71,0,0,-80,0,0,0,-54,0,0,D_1
22:46:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,D_1
22:46:30,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,D_1
22:46:32,0,0,0,0,0,-87,0,-78,0,0,0,0,0,0,0,0,0,0,D_1
22:46:34,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,D_1
22:46:36,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,-87,-67,0,0,D_1
22:46:45,0,0,0,0,0,-79,-70,-73,0,0,0,0,0,0,0,0,0,0,D_1
22:46:47,0,0,0,0,0,0,0,0,-81,0,0,0,0,0,0,-69,0,0,D_1
22:46:49,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,-78,0,0,0,D_1
22:46:56,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:46:57,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,D_1
22:46:58,0,0,0,0,0,-80,-92,0,0,0,0,0,0,0,0,0,0,0,D_1
22:47:00,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,-62,0,0,D_1
22:47:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,D_1
22:47:08,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,D_1
22:47:09,0,0,0,0,0,-87,-81,0,0,0,0,0,0,0,0,0,0,0,D_1
22:47:11,0,0,0,0,0,0,-82,0,-91,0,0,0,0,0,0,-70,0,0,D_1
22:47:12,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:47:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,0,D_1
22:47:21,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,D_1
22:47:23,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,D_1
22:47:24,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,D_1
22:47:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-68,0,0,D_1
22:47:34,0,0,0,0,0,-93,0,-90,0,0,0,0,0,0,0,0,0,0,D_1
22:47:35,0,0,0,0,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,D_1
22:47:36,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,D_1
22:47:37,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,-89,-75,0,0,D_1
22:47:47,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,D_1
22:47:48,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,-73,0,0,D_1
22:47:49,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,D_1
22:47:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,D_1
22:47:51,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,D_1
22:47:58,0,0,0,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,0,D_1
22:48:00,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,D_1
22:48:02,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,-72,0,0,D_1
22:48:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,-77,0,0,D_1
22:48:13,0,0,0,0,0,-91,0,0,-77,0,0,0,0,0,-83,0,0,0,D_1
22:48:15,0,0,0,0,0,0,0,0,-80,0,0,-89,0,0,-88,-70,0,0,D_1
22:48:24,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,D_1
22:48:26,0,0,0,0,0,0,-79,0,-89,0,0,0,0,0,0,-75,0,0,D_1
22:48:28,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,-73,0,0,D_1
22:48:35,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,D_1
22:48:37,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:48:39,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,-68,0,0,D_1
22:48:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,0,D_1
22:48:48,0,0,0,0,0,0,-79,-74,0,0,0,0,0,0,0,0,0,0,D_1
22:48:50,0,0,0,0,0,0,0,0,-84,0,0,-85,0,0,-73,0,0,0,D_1
22:48:52,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,-69,0,0,D_1
22:48:59,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:49:01,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,D_1
22:49:03,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,-67,0,0,D_1
22:49:05,0,0,0,0,-96,0,0,0,0,0,0,0,0,0,0,-62,0,0,D_1
22:49:12,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,D_1
22:49:14,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:49:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,D_1
22:49:18,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,-60,0,0,D_1
22:49:23,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,D_1
22:49:25,0,0,0,0,0,-67,-67,0,0,0,0,0,0,0,0,0,0,0,D_1
