TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
00:00:00,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,-74,0,0,E_3
00:00:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,0,0,0,E_3
00:00:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,E_3
00:00:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,E_3
00:00:09,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,E_3
00:00:11,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,E_3
00:00:13,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,E_3
00:00:14,0,0,0,0,0,0,-57,0,0,0,0,0,0,0,-73,0,0,0,E_3
00:00:15,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,E_3
00:00:16,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,-71,0,0,0,E_3
00:00:20,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,E_3
00:00:24,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,-78,0,0,E_3
00:00:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,E_3
00:00:27,0,0,0,0,0,0,-61,0,0,0,0,0,0,0,0,0,0,0,E_3
00:00:31,0,0,0,0,0,-86,0,-66,0,0,0,0,0,0,0,0,0,0,E_3
00:00:33,0,0,0,0,0,0,0,-54,0,0,0,0,0,0,0,0,0,0,E_3
00:00:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,E_3
00:00:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,E_3
00:00:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,E_3
00:00:42,0,0,0,0,0,0,-61,0,0,0,0,0,0,0,0,0,0,0,E_3
