TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
23:38:38,0,0,0,0,0,0,-78,-68,0,0,0,0,0,0,0,0,0,0,E_1
23:53:57,0,0,0,0,0,0,-76,-62,-64,0,-84,0,0,0,0,-86,0,0,E_2
22:09:50,0,-78,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,-73,-60,B_1
23:50:25,0,0,0,0,0,0,-78,-75,0,0,-83,0,0,0,0,0,0,0,E_1
23:37:02,0,0,0,0,0,0,-78,-78,-65,0,0,0,0,0,0,-87,0,0,E_1
2:55:48,0,0,0,0,0,0,-72,0,-71,0,0,0,0,0,0,0,0,0,E_3
00:59:41,0,-72,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,A_3
23:12:35,0,0,0,0,0,-74,0,-68,0,0,0,-80,0,0,-64,-68,0,0,D_2
23:40:17,0,0,0,0,0,0,0,-71,0,0,-90,0,0,0,0,0,0,0,E_1
11:38:35,0,0,0,0,0,-87,0,0,-72,0,0,-78,0,0,-68,0,0,0,D_1
22:39:18,0,0,0,0,0,-78,-75,-80,-78,0,0,-94,0,0,0,-57,0,0,D_1
11:10:58,0,0,-92,-73,-62,-79,0,0,0,0,0,0,0,0,0,0,0,-89,C_2
2:44:28,0,0,0,0,0,0,-62,0,-70,0,0,0,0,0,-75,-68,0,0,E_3
22:18:41,-90,-84,-84,-92,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,B_2
10:58:47,0,0,-88,-72,-78,0,0,0,0,0,0,0,0,0,0,0,-88,0,C_1
2:43:00,0,0,0,0,0,-84,-51,-72,0,0,0,-70,0,0,-71,-67,0,0,E_3
23:43:09,0,0,0,0,0,0,-76,-74,-58,-84,0,0,0,0,0,-82,0,0,E_1
23:16:26,0,0,0,0,0,-81,-66,-86,0,0,0,-69,0,0,-58,0,0,0,D_2
00:00:01,0,0,0,0,0,0,-72,0,-73,-89,0,0,0,0,-88,0,0,0,E_2
23:37:11,0,0,0,0,0,0,-87,-74,0,0,-82,0,0,0,-94,0,0,0,E_1
01:37:00,-61,-78,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,A_1
10:18:52,0,0,-75,-85,0,0,0,0,0,0,0,0,0,0,0,0,-75,-53,B_1
23:57:04,0,0,0,0,0,0,-73,0,-63,-81,0,0,0,0,-89,0,0,0,E_2
23:37:21,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,-86,0,0,E_1
01:00:02,-72,-68,-57,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,A_3
22:27:58,-80,0,-74,-72,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,B_2
19:53:15,0,0,0,0,-65,0,0,0,0,0,0,-92,0,0,-94,0,0,0,C_2
22:18:24,0,-80,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,B_2
20:37:12,-56,-82,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,A_1
2:44:01,0,0,0,0,0,0,-68,-64,-71,0,0,0,0,0,-82,-79,0,0,E_3
2:46:03,0,0,0,0,0,0,-66,-67,0,0,0,-85,0,0,-84,0,0,0,E_3
23:59:07,0,0,0,0,0,0,-72,-64,0,0,0,-93,0,0,0,0,0,0,E_2
