TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
11:21:15,0,0,0,0,0,0,0,-68,0,0,0,-80,0,0,0,0,0,0,D_2
11:21:16,0,0,0,0,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,D_2
11:21:17,0,0,0,0,0,0,0,-90,0,0,0,-74,0,0,0,0,0,0,D_2
11:21:18,0,0,0,0,-91,0,0,-87,0,0,0,0,0,0,0,0,0,0,D_2
11:21:20,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,D_2
11:21:21,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_2
11:21:22,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,D_2
11:21:23,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,D_2
11:21:25,0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,D_2
11:21:26,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,-82,-55,0,0,D_2
11:21:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,-61,0,0,D_2
11:21:29,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,D_2
11:21:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,D_2
11:21:33,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,D_2
11:21:34,0,0,0,0,0,0,0,0,0,0,0,-97,0,0,0,0,0,0,D_2
11:21:35,0,0,0,0,0,-78,0,-71,0,0,0,0,0,0,0,0,0,0,D_2
11:21:36,0,0,0,0,0,-85,0,-80,0,0,0,0,0,0,0,0,0,0,D_2
11:21:37,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,D_2
11:21:38,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,D_2
11:21:40,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,D_2
11:21:41,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,D_2
11:21:45,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,D_2
11:21:46,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,D_2
11:21:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-60,0,0,D_2
11:21:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,-69,0,0,D_2
11:21:49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,0,D_2
11:21:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,D_2
11:21:51,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,D_2
11:21:52,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,D_2
11:21:56,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,D_2
11:21:57,0,0,0,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,D_2
11:21:59,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,D_2
11:22:00,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,D_2
