TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
23:50:22,0,0,0,0,0,0,0,0,-64,0,0,0,0,0,0,0,0,0,E_1
23:50:23,0,0,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,0,0,E_1
23:50:24,0,0,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,0,0,E_1
23:50:25,0,0,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,E_1
23:50:30,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,E_1
23:50:31,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,E_1
23:50:32,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,E_1
23:50:33,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,E_1
23:50:34,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,-90,0,0,E_1
23:50:36,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,-89,0,0,E_1
23:50:37,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,E_1
23:50:42,0,0,0,0,0,0,0,0,-60,-92,0,0,0,0,0,0,0,0,E_1
23:50:43,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,E_1
23:50:44,0,0,0,0,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,E_1
23:50:45,0,0,0,0,0,0,0,0,-55,0,0,0,0,0,0,0,0,0,E_1
23:50:48,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E_1
23:50:50,0,0,0,0,-89,0,-86,0,0,0,0,0,0,0,0,0,0,0,E_1
23:50:51,0,0,0,0,-95,0,-84,0,0,0,0,0,0,0,0,0,0,0,E_1
23:50:53,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,E_1
23:50:54,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,-84,0,0,E_1
23:50:55,0,0,0,0,0,0,0,-75,0,0,0,-91,0,0,0,-78,0,0,E_1
23:50:56,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,-70,0,0,E_1
23:50:57,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,-79,0,0,E_1
23:50:58,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,E_1
23:51:00,0,0,0,0,0,0,0,0,0,0,-91,0,0,0,0,0,0,0,E_1
23:51:02,0,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,E_1
23:51:03,0,0,0,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,E_1
23:51:04,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,E_1
23:51:05,0,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,E_1
23:51:09,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,E_1
23:51:14,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,E_1
23:51:15,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,-84,0,0,E_1
23:51:17,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,E_1
23:51:18,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,-86,0,0,E_1
23:51:22,0,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,E_1
23:51:23,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,E_1
23:51:24,0,0,0,0,0,0,0,0,-76,0,-92,0,0,0,0,0,0,0,E_1
23:51:31,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,E_1
23:51:34,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,E_1
23:51:36,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,E_1
23:51:42,0,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,E_1
23:51:43,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,E_1
23:51:44,0,0,0,0,0,0,0,0,-63,0,0,0,0,0,-92,0,0,0,E_1
23:51:49,-85,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,E_1
23:51:50,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,E_1
23:51:51,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,E_1
23:51:52,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,0,0,E_1
23:51:54,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,-86,0,0,E_1
23:51:55,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,-83,0,0,E_1
23:51:57,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,E_1
23:51:58,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,0,-80,0,0,E_1
