TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
20:49:01,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:49:03,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,-76,0,A_2
20:49:04,-79,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,A_2
20:49:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,A_2
20:49:11,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,A_2
20:49:14,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,A_2
20:49:15,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:49:16,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:49:18,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:49:19,-86,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:49:22,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:49:34,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:49:35,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:49:38,-77,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:49:46,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,A_2
20:49:50,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:49:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,A_2
20:49:54,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:49:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,A_2
20:49:57,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:49:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,A_2
20:50:02,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,A_2
20:50:09,0,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:50:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,A_2
20:50:14,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:50:17,-70,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:50:20,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:50:21,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,A_2
20:50:24,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,A_2
20:50:25,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:50:28,0,-68,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,A_2
20:50:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-99,A_2
20:50:33,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:50:36,-80,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:50:44,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:50:47,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:50:49,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:50:52,-73,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:50:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,A_2
20:51:01,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:51:02,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,A_2
20:51:04,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:51:07,0,-57,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:51:08,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:51:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,0,A_2
20:51:11,-73,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,A_2
20:51:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,A_2
20:51:14,-78,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:51:20,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:51:27,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:51:30,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:51:33,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:51:37,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,0,0,0,0,A_2
20:51:40,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,0,A_2
20:51:42,0,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:51:49,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:51:53,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,0,0,A_2
20:51:58,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:51:59,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,A_2
20:52:01,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:52:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,A_2
20:52:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,A_2
20:52:05,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,A_2
20:52:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,A_2
20:52:08,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:52:11,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:52:14,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:52:15,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,A_2
20:52:17,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
20:52:20,0,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
