TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
00:52:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,A_2
00:52:02,0,0,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,A_2
00:52:03,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:52:04,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:52:05,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:52:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,A_2
00:52:08,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:52:14,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:52:15,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,0,0,A_2
00:52:18,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,A_2
00:52:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,A_2
00:52:22,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:52:23,0,-53,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,A_2
00:52:24,0,-63,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,A_2
00:52:25,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,A_2
00:52:26,0,-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,A_2
00:52:27,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,A_2
00:52:30,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:52:31,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:52:32,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:52:33,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:52:34,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:52:36,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,0,0,A_2
00:52:38,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,A_2
00:52:41,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,A_2
00:52:42,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:52:43,0,-53,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,0,A_2
00:52:44,0,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,A_2
00:52:45,0,-64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:52:46,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:52:51,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:01,0,0,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,A_2
00:53:02,0,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,A_2
00:53:03,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:04,0,-68,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,-78,A_2
00:53:05,0,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,A_2
00:53:06,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,A_2
00:53:07,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:10,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:11,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:12,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:13,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:14,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,A_2
00:53:15,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,A_2
00:53:17,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,A_2
00:53:21,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,A_2
00:53:22,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:23,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91,A_2
00:53:24,0,-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,A_2
00:53:25,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:27,0,-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,A_2
00:53:29,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:30,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:31,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:32,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:33,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:35,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,0,0,A_2
00:53:36,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,A_2
00:53:37,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,0,A_2
00:53:39,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:40,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:41,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:43,0,-53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:44,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:45,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,A_2
00:53:49,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:50,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:51,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:52,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:53,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:53:55,0,0,0,0,0,0,0,0,0,0,0,0,0,-93,0,0,0,0,A_2
00:54:00,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,A_2
00:54:01,0,-69,-59,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,A_2
00:54:02,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:54:03,0,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,A_2
00:54:04,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,A_2
00:54:08,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
00:54:09,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A_2
