TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
10:42:51,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,B_2
10:42:52,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,0,B_2
10:42:55,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:42:59,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:43:03,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,B_2
10:43:05,0,0,-78,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,B_2
10:43:10,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:43:12,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:43:16,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,-67,-84,B_2
10:43:18,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:43:23,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:43:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,0,B_2
10:43:29,0,0,-78,-80,0,0,0,0,0,0,0,0,0,0,0,0,-69,-83,B_2
10:43:31,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:43:32,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:43:36,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:43:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,0,B_2
10:43:42,0,0,-73,-68,-82,0,0,0,0,0,0,0,0,0,0,0,0,-75,B_2
10:43:44,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:43:46,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:43:53,0,0,-73,-71,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,B_2
10:43:55,0,0,0,0,-88,-86,0,0,0,0,0,0,0,0,0,0,0,-75,B_2
10:43:57,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:44:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,B_2
10:44:05,-78,0,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,0,-80,B_2
10:44:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,0,B_2
10:44:08,-75,0,-75,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:44:10,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:44:13,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:44:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,B_2
10:44:19,0,0,-71,-68,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:44:21,-83,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:44:26,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,-95,0,0,B_2
10:44:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,0,B_2
10:44:30,0,0,-72,-77,0,0,0,0,0,0,0,0,0,0,0,0,-67,-66,B_2
10:44:32,0,0,-70,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,B_2
10:44:43,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,-92,-58,B_2
10:44:47,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:44:51,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:44:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,B_2
10:44:54,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,B_2
10:44:56,0,0,0,-71,0,-89,0,0,0,0,0,0,0,0,0,0,0,-75,B_2
10:44:58,-88,0,0,0,-79,-82,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:45:04,0,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
10:45:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,0,B_2
