TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
22:25:29,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:25:31,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,B_2
22:25:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,B_2
22:25:33,0,-84,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:25:34,-82,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,-67,0,B_2
22:25:35,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:25:36,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,0,B_2
22:25:37,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:25:38,-80,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:25:39,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:25:41,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:25:43,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:25:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,B_2
22:25:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,B_2
22:25:47,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:25:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,B_2
22:25:53,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:25:54,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,0,B_2
22:25:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,B_2
22:25:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-58,0,B_2
22:25:57,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,B_2
22:26:00,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:01,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:04,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,B_2
22:26:07,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,B_2
22:26:10,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61,0,B_2
22:26:14,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:15,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,0,B_2
22:26:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60,0,B_2
22:26:17,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,0,B_2
22:26:18,-80,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,B_2
22:26:24,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,B_2
22:26:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,B_2
22:26:28,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,B_2
22:26:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,B_2
22:26:31,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:32,0,-75,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:33,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51,0,B_2
22:26:34,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,0,B_2
22:26:35,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:36,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51,0,B_2
22:26:38,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:41,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:46,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,B_2
22:26:47,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,B_2
22:26:49,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:50,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:51,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,0,B_2
22:26:53,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,0,B_2
22:26:54,-84,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,0,B_2
22:26:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,0,B_2
22:26:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,0,B_2
22:26:57,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:26:59,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:27:00,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:27:44,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:27:45,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:27:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,B_2
22:27:48,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:27:49,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:27:50,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,B_2
22:27:51,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:27:52,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:27:53,0,-81,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,-70,0,B_2
22:27:54,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,B_2
22:27:55,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:27:56,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,B_2
22:27:57,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:27:58,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:27:59,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:28:00,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:28:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,B_2
22:28:04,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:28:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,B_2
22:28:06,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,B_2
22:28:07,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,-77,B_2
