TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
22:50:35,0,0,0,0,0,-82,0,-80,0,0,0,0,0,0,0,0,0,0,D_1
22:50:36,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:50:37,0,0,0,0,0,-84,0,-75,0,0,0,0,0,0,0,0,0,0,D_1
22:50:38,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,D_1
22:50:39,0,0,0,0,0,-78,0,-76,-74,0,0,0,0,0,0,0,0,0,D_1
22:50:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,0,0,0,D_1
22:50:41,0,0,0,0,0,0,-62,0,-79,0,0,-77,0,0,-76,0,0,0,D_1
22:50:42,0,0,0,0,0,0,-69,0,-75,0,0,-82,0,0,-62,-70,0,0,D_1
22:50:43,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,-61,-70,0,0,D_1
22:50:44,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,D_1
22:50:45,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,D_1
22:50:55,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,D_1
22:50:56,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:50:57,0,0,0,0,0,-74,0,-70,0,0,0,0,0,0,0,0,0,0,D_1
22:50:58,0,0,0,0,0,-73,-63,-75,0,0,0,0,0,0,0,0,0,0,D_1
22:50:59,0,0,0,0,0,0,-79,-87,0,0,0,-88,0,0,-63,0,0,0,D_1
22:51:00,0,0,0,0,0,0,-71,0,-80,0,0,0,0,0,-66,0,0,0,D_1
22:51:01,0,0,0,0,-93,0,-79,0,0,0,0,0,0,0,-72,0,0,0,D_1
22:51:02,0,0,0,0,-83,0,0,0,-80,0,0,0,0,0,-64,-65,0,0,D_1
22:51:04,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,-69,0,0,0,D_1
22:51:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,0,D_1
22:51:15,0,0,0,0,0,-72,0,-84,0,0,0,0,0,0,0,0,0,0,D_1
22:51:16,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:51:17,0,0,0,-92,0,-72,0,-84,0,0,0,0,0,0,0,0,0,0,D_1
22:51:18,0,0,0,0,0,-66,-69,0,0,0,0,0,0,0,0,0,0,0,D_1
22:51:19,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:51:20,0,0,0,0,0,-69,0,-82,-78,0,0,0,0,0,0,0,0,0,D_1
22:51:21,0,0,0,0,-84,0,-82,0,0,0,0,0,0,0,0,-59,0,0,D_1
22:51:22,0,0,0,0,-84,0,-86,0,0,0,0,0,0,0,-75,-62,0,0,D_1
22:51:23,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,-72,-65,0,0,D_1
22:51:24,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,-69,-59,0,0,D_1
22:51:25,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,-61,0,0,D_1
22:51:32,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:51:33,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:51:35,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:51:36,0,0,0,-79,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:51:37,0,0,0,-80,0,0,-77,-77,0,0,0,0,0,0,0,0,0,0,D_1
22:51:38,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,D_1
22:51:39,0,0,0,0,0,-66,-71,0,0,0,0,-84,0,0,-75,0,0,0,D_1
22:51:40,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,-84,0,0,0,D_1
22:51:41,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,-79,0,0,0,D_1
22:51:42,0,0,0,0,-80,0,-73,0,-84,0,0,-87,0,0,-76,0,0,0,D_1
22:51:43,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,-81,-59,0,0,D_1
22:51:44,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,-72,-62,0,0,D_1
22:51:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59,0,0,D_1
22:51:46,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,-60,0,0,D_1
