TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
2:42:07,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,E_3
2:42:15,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,E_3
2:42:17,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,E_3
2:42:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,E_3
2:42:20,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,-70,-71,0,0,E_3
2:42:21,0,0,0,0,0,-86,-51,0,0,0,0,0,0,0,-71,0,0,0,E_3
2:42:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-68,-69,0,0,E_3
2:42:23,0,0,0,0,0,-77,-54,0,0,0,0,0,0,0,-68,0,0,0,E_3
2:42:24,0,0,0,0,0,-80,-54,0,0,0,0,0,0,0,-65,0,0,0,E_3
2:42:27,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,E_3
2:42:33,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,E_3
2:42:34,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,E_3
2:42:36,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,E_3
2:42:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,E_3
2:42:40,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,-81,-80,0,0,E_3
2:42:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,E_3
2:42:42,0,0,0,0,0,0,-70,-55,0,0,0,0,0,0,0,0,0,0,E_3
2:42:43,0,0,0,0,0,0,-73,-53,0,0,0,0,0,0,-83,0,0,0,E_3
2:42:44,0,0,0,0,0,-92,-71,-57,0,-88,0,-88,0,0,0,0,0,0,E_3
2:42:46,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,E_3
2:42:53,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,E_3
2:42:54,0,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,E_3
2:42:55,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,E_3
2:42:56,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,E_3
2:42:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,0,E_3
2:43:00,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,-77,-67,0,0,E_3
2:43:01,0,0,0,0,0,-82,-53,0,0,0,0,0,0,0,-73,0,0,0,E_3
2:43:02,0,0,0,0,0,0,-50,-67,0,0,0,0,0,0,-71,0,0,0,E_3
2:43:03,0,0,0,0,0,0,-47,-77,0,0,0,0,0,0,-68,0,0,0,E_3
2:43:04,0,0,0,0,0,-84,-53,-72,0,0,0,-70,0,0,-68,0,0,0,E_3
2:43:05,0,0,0,0,0,0,0,-77,0,0,0,-78,0,0,0,0,0,0,E_3
2:43:13,0,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,E_3
2:43:14,0,0,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,0,0,E_3
2:43:15,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,E_3
2:43:16,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,E_3
2:43:17,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,E_3
2:43:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,E_3
2:43:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,E_3
2:43:20,0,0,0,0,0,0,-62,-65,0,0,0,0,0,0,0,-79,0,0,E_3
2:43:21,0,0,0,0,0,0,0,-61,0,0,0,0,0,0,0,-85,0,0,E_3
2:43:22,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,E_3
2:43:23,0,0,0,0,0,0,-73,-62,0,0,0,0,0,0,-80,0,0,0,E_3
2:43:24,0,0,0,0,0,0,-75,-63,0,0,0,-85,0,0,-80,0,0,0,E_3
2:43:27,0,0,0,0,0,0,0,0,0,0,-90,-88,0,0,0,0,0,0,E_3
2:43:32,0,0,0,0,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,E_3
2:43:33,0,0,0,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,E_3
2:43:34,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,E_3
2:43:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,0,E_3
2:43:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,E_3
2:43:39,0,0,0,0,0,0,-60,0,0,0,0,0,0,0,0,-67,0,0,E_3
2:43:40,0,0,0,0,0,0,-67,-72,0,0,0,0,0,0,-74,-76,0,0,E_3
2:43:41,0,0,0,0,0,-85,-51,-64,0,0,0,0,0,0,-70,0,0,0,E_3
2:43:42,0,0,0,0,0,0,-53,-68,0,0,0,0,0,0,-72,0,0,0,E_3
2:43:43,0,0,0,0,0,-91,0,-67,0,0,0,0,0,0,-68,0,0,0,E_3
2:43:44,0,0,0,0,0,-84,0,-80,0,0,0,-79,0,0,0,0,0,0,E_3
2:43:46,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,E_3
2:43:47,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,E_3
2:43:53,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,E_3
2:43:56,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,E_3
2:43:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,E_3
2:43:59,0,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,-74,0,0,E_3
2:44:00,0,0,0,0,0,0,0,-58,0,0,0,0,0,0,-78,0,0,0,E_3
2:44:01,0,0,0,0,0,0,-63,0,0,0,0,0,0,0,-83,-81,0,0,E_3
2:44:02,0,0,0,0,0,0,0,-63,0,0,0,0,0,0,0,-77,0,0,E_3
2:44:03,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,-82,0,0,0,E_3
2:44:04,0,0,0,0,0,0,0,-65,0,0,0,0,0,0,0,0,0,0,E_3
2:44:12,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,E_3
2:44:15,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,E_3
2:44:16,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,E_3
2:44:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,0,0,E_3
2:44:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,E_3
2:44:20,0,0,0,0,0,0,-66,0,0,-89,0,0,0,0,-85,-82,0,0,E_3
2:44:21,0,0,0,0,0,0,-67,-55,0,0,0,0,0,0,0,-77,0,0,E_3
2:44:22,0,0,0,0,0,0,0,-62,0,0,0,0,0,0,-82,-75,0,0,E_3
2:44:23,0,0,0,0,-92,0,-68,-60,0,0,0,0,0,0,0,0,0,0,E_3
2:44:24,0,0,0,0,0,0,-69,-55,0,0,0,-95,0,0,-78,0,0,0,E_3
2:44:25,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,E_3
2:44:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,E_3
2:44:29,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,-75,-50,0,0,E_3
2:44:31,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,E_3
2:44:32,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,E_3
2:44:33,0,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,E_3
2:44:34,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,E_3
2:44:35,0,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,E_3
2:44:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,E_3
2:44:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,E_3
2:44:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,E_3
2:44:41,0,0,0,0,0,-90,-66,-69,0,0,0,0,0,0,-79,-71,0,0,E_3
2:44:42,0,0,0,0,0,-87,-65,-54,0,0,0,0,0,0,-81,0,0,0,E_3
2:44:43,0,0,0,0,0,0,0,-57,0,0,0,0,0,0,-79,0,0,0,E_3
2:44:44,0,0,0,0,0,0,-78,-59,0,0,0,0,0,0,-87,0,0,0,E_3
2:44:47,0,0,0,0,0,0,-43,-64,0,0,0,-87,0,0,0,-72,0,0,E_3
2:44:51,0,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,E_3
2:44:52,0,0,0,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,E_3
2:44:53,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,E_3
2:44:55,0,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,E_3
2:44:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,0,0,E_3
2:44:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,0,0,E_3
2:44:59,0,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,-76,0,0,E_3
2:45:00,0,0,0,0,0,0,0,-57,0,0,0,0,0,0,0,-74,0,0,E_3
2:45:01,0,0,0,0,0,0,-72,-55,0,0,0,0,0,0,0,-80,0,0,E_3
2:45:02,0,0,0,0,0,-91,0,-60,0,0,0,0,0,0,0,0,0,0,E_3
2:45:03,0,0,0,0,0,-95,-69,-55,0,-95,0,0,0,0,-80,0,0,0,E_3
2:45:11,0,0,0,0,0,0,0,0,-59,0,0,0,0,0,0,0,0,0,E_3
2:45:12,0,0,0,0,0,0,0,0,-65,0,0,0,0,0,0,0,0,0,E_3
2:45:13,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,E_3
2:45:14,0,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,E_3
2:45:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0,0,E_3
2:45:19,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,-78,0,0,E_3
2:45:20,0,0,0,0,0,0,-64,-78,0,0,0,0,0,0,0,-72,0,0,E_3
2:45:21,0,0,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,E_3
2:45:22,0,0,0,0,0,-88,-68,0,0,0,0,0,0,0,-83,-79,0,0,E_3
2:45:23,0,0,0,0,0,-87,-62,-68,0,0,0,0,0,0,-85,0,0,0,E_3
2:45:26,0,0,0,0,-91,0,0,0,0,0,0,-86,0,0,0,0,0,0,E_3
2:45:31,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,E_3
2:45:32,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,E_3
2:45:34,0,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,E_3
2:45:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-75,0,0,E_3
2:45:40,0,0,0,0,0,-81,0,-59,0,0,0,0,0,0,-79,-78,0,0,E_3
2:45:41,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,-70,0,0,0,E_3
2:45:42,0,0,0,0,0,0,-71,-61,0,0,0,0,0,0,-77,0,0,0,E_3
2:45:43,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,-80,0,0,0,E_3
2:45:44,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,E_3
2:45:45,0,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,E_3
2:45:51,0,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,E_3
2:45:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,E_3
2:45:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,-70,0,0,E_3
2:46:00,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,-73,0,0,E_3
2:46:01,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,-70,-79,0,0,E_3
2:46:02,0,0,0,0,0,0,-50,0,0,0,0,0,0,0,0,0,0,0,E_3
2:46:03,0,0,0,0,0,0,0,-68,0,0,0,0,0,0,-73,0,0,0,E_3
2:46:04,0,0,0,0,0,0,-66,-66,0,0,0,0,0,0,-95,0,0,0,E_3
2:46:05,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,E_3
2:46:06,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,E_3
2:46:08,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,0,E_3
2:46:11,0,0,0,0,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,E_3
2:46:12,0,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,E_3
2:46:13,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,E_3
2:46:19,0,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,-81,0,0,E_3
2:46:20,0,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,E_3
2:46:21,0,0,0,0,0,0,-69,-71,0,0,0,0,0,0,-86,-78,0,0,E_3
2:46:22,0,0,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,E_3
2:46:23,0,0,0,0,0,0,0,-75,0,0,0,0,0,0,-92,0,0,0,E_3
2:46:25,0,0,0,0,0,0,0,0,0,0,0,-94,0,0,0,0,0,0,E_3
2:46:31,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,E_3
2:46:32,0,0,0,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,E_3
2:46:33,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,E_3
2:46:34,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,E_3
2:46:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,E_3
2:46:39,0,0,0,0,0,0,0,-69,0,0,0,0,0,0,0,-79,0,0,E_3
2:46:40,0,0,0,0,0,0,-72,-71,0,0,0,0,0,0,0,0,0,0,E_3
2:46:41,0,0,0,0,0,0,-76,-69,0,0,0,0,0,0,-91,0,0,0,E_3
2:46:42,0,0,0,0,0,-94,-72,-78,0,0,0,0,0,0,-80,0,0,0,E_3
2:46:43,0,0,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,E_3
2:46:50,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,E_3
2:46:52,0,0,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,E_3
2:46:53,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,E_3
2:46:54,0,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,E_3
2:46:59,0,0,0,0,0,0,-70,-69,-83,0,0,0,0,0,-84,0,0,0,E_3
2:47:00,0,0,0,0,0,0,-78,-71,0,0,0,0,0,0,0,0,0,0,E_3
